Volts,Deg F,
4.1309,61,
4.1015,62,
4.0722,63,
4.0430,64,
4.0139,65,
3.9849,66,
3.9559,67,
3.9271,68,
3.8983,69,
3.8696,70,
3.8411,71,
3.8126,72,
3.7842,73,
3.7558,74,
3.7276,75,
3.6995,76,
3.6714,77,
3.6434,78,
3.6156,79,
3.5878,80,
3.5601,81,
3.5324,82,
3.5049,83,
3.4775,84,
3.4501,85,
3.4229,86,
3.3957,87,
3.3686,88,
3.3416,89,
3.3147,90,
3.2879,91,
3.2611,92,
3.2345,93,
3.2079,94,
3.1814,95,
3.1551,96,
3.1288,97,
3.1026,98,
3.0764,99,
3.0504,100,
3.0245,101,
2.9986,102,
2.9728,103,
2.9472,104,
2.9216,105,
2.8961,106,
2.8706,107,
2.8453,108,
2.8201,109,
2.7949,110,
2.7699,111,
2.7449,112,
2.7200,113,
2.6952,114,
2.6705,115,
2.6459,116,
2.6213,117,
2.5969,118,
2.5725,119,
2.5482,120,
2.5241,121,
2.5000,122,
2.4760,123,
2.4520,124,
2.4282,125,
2.4045,126,
2.3808,127,
2.3572,128,
2.3338,129,
2.3104,130,
2.2871,131,
2.2638,132,
2.2407,133,
2.2177,134,
2.1947,135,
2.1719,136,
2.1491,137,
2.1264,138,
2.1038,139,
2.0813,140,
2.0589,141,
2.0365,142,
2.0143,143,
1.9921,144,
1.9700,145,
1.9481,146,
1.9262,147,
1.9044,148,
1.8826,149,
1.8610,150,
1.8395,151,
1.8180,152,
1.7966,153,
1.7754,154,
1.7542,155,
1.7331,156,
1.7120,157,
1.6911,158,
1.6703,159,
1.6495,160,
1.6289,161,
1.6083,162,
1.5878,163,
1.5674,164,
1.5471,165,
1.5269,166,
1.5067,167,
1.4867,168,
1.4667,169,
1.4468,170,
1.4271,171,
1.4074,172,
1.3878,173,
1.3682,174,
1.3488,175,
1.3295,176,
1.3102,177,
1.2910,178,
1.2720,179,
1.2530,180,
1.2341,181,
1.2152,182,
1.1965,183,
1.1779,184,
1.1593,185,
1.1409,186,
1.1225,187,
1.1042,188,
1.0860,189,
1.0679,190,
1.0499,191,
1.0319,192,
1.0141,193,
0.9963,194,
0.9786,195,
0.9611,196,
0.9436,197,
0.9262,198,
0.9088,199,
0.8916,200,
0.8745,201,
0.8574,202,
0.8404,203,
0.8236,204,
0.8068,205,
0.7901,206,
0.7734,207,
0.7569,208,
0.7405,209,
0.7241,210,
0.7079,211,
0.6917,212,
0.6756,213,
0.6596,214,
0.6437,215,
0.6279,216,
0.6121,217,
0.5965,218,
0.5809,219,
0.5654,220,
